-.375 -.375
-.375 .375
-.375 1.125
-.375 1.875
-.375 2.625
-.375 3.375
-.375 4.125
-.375 4.875
-.375 5.625
-.375 6.375
-.375 7.125
-.375 7.875
-.375 8.625
-.375 9.375
-.375 10.125
-.375 10.875
-.375 11.625
-.375 12.375
-.375 13.125
-.375 13.875
-.375 14.625
-.375 15.375
-.375 16.125
-.375 16.875
-.375 17.625
-.375 18.375
-.375 19.125
-.375 19.875
-.375 20.625
-.375 21.375
-.375 22.125
-.375 22.875
-.375 23.625
-.375 24.375
-.375 25.125
-.375 25.875
-.375 26.625
-.375 27.375
-.375 28.125
-.375 28.875
-.375 29.625
-.375 30.375
-.375 31.125
-.375 31.875
-.375 32.625
-.375 33.375
-.375 34.125
-.375 34.875
-.375 35.625
-.375 36.375
-.375 37.125
-.375 37.875
-.375 38.625
-.375 39.375
-.375 40.125
-.375 40.875
-.375 41.625
-.375 42.375
-.375 43.125
-.375 43.875
-.375 44.625
-.375 45.375
-.375 46.125
-.375 46.875
-.375 47.625
-.375 48.375
-.375 49.125
-.375 49.875
-.375 50.625
-.375 51.375
-.375 52.125
-.375 52.875
-.375 53.625
-.375 54.375
-.375 55.125
-.375 55.875
-.375 56.625
-.375 57.375
-.375 58.125
-.375 58.875
-.375 59.625
-.375 60.375
-.375 61.125
-.375 61.875
-.375 62.625
-.375 63.375
-.375 64.125
-.375 64.875
-.375 65.625
-.375 66.375
-.375 67.125
-.375 67.875
-.375 68.625
-.375 69.375
-.375 70.125
-.375 70.875
-.375 71.625
-.375 72.375
-.375 73.125
-.375 73.875
.375 -.375
.375 .375
.375 1.125
.375 1.875
.375 2.625
.375 3.375
.375 4.125
.375 4.875
.375 5.625
.375 6.375
.375 7.125
.375 7.875
.375 8.625
.375 9.375
.375 10.125
.375 10.875
.375 11.625
.375 12.375
.375 13.125
.375 13.875
.375 14.625
.375 15.375
.375 16.125
.375 16.875
.375 17.625
.375 18.375
.375 19.125
.375 19.875
.375 20.625
.375 21.375
.375 22.125
.375 22.875
.375 23.625
.375 24.375
.375 25.125
.375 25.875
.375 26.625
.375 27.375
.375 28.125
.375 28.875
.375 29.625
.375 30.375
.375 31.125
.375 31.875
.375 32.625
.375 33.375
.375 34.125
.375 34.875
.375 35.625
.375 36.375
.375 37.125
.375 37.875
.375 38.625
.375 39.375
.375 40.125
.375 40.875
.375 41.625
.375 42.375
.375 43.125
